"customer_id","first_name","last_name","state","address","order_id","order_date","customer_id-2","seller_id","order_status"
866,"Rachel","Scott","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
887,"Kayla","Reed","Washington","XXXXX",NULL,NULL,NULL,NULL,NULL
802,"Victor","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
455,"Derek","Scott","New York","XXXXX",NULL,NULL,NULL,NULL,NULL
850,"Frank","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
801,"Rachel","Scott","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
856,"Daniel","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
807,"Patrick","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
756,"Tara","Green","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
872,"Henry","Smith","Utah","XXXXX",NULL,NULL,NULL,NULL,NULL
852,"Nathan","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
836,"Brian","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
20,"Quinn","Smith","Arkansas","XXXXX",NULL,NULL,NULL,NULL,NULL
847,"Tara","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
25,"Ursula","Brown","California","XXXXX",NULL,NULL,NULL,NULL,NULL
26,"Rachel","Johnson","California","XXXXX",NULL,NULL,NULL,NULL,NULL
27,"Kayla","Brown","California","XXXXX",NULL,NULL,NULL,NULL,NULL
883,"Gina","Reed","Virginia","XXXXX",NULL,NULL,NULL,NULL,NULL
785,"Frank","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
765,"Daniel","Scott","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
786,"Jack","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
825,"Jack","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
838,"Jack","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
805,"Henry","Harris","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
815,"Victor","Green","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
774,"Nathan","Wilson","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
833,"Patrick","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
11,"Alice","Johnson","Arizona","XXXXX",NULL,NULL,NULL,NULL,NULL
39,"Gina","Davis","California","XXXXX",NULL,NULL,NULL,NULL,NULL
839,"Nathan","Scott","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
834,"Tara","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
882,"Jake","Green","Virginia","XXXXX",NULL,NULL,NULL,NULL,NULL
131,"Alicia","Reed","California","XXXXX",NULL,NULL,NULL,NULL,NULL
812,"Jack","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
17,"Zachary","Hughes","Arkansas","XXXXX",NULL,NULL,NULL,NULL,NULL
827,"Rachel","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
861,"Xavier","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
33,"Ivy","Davis","California","XXXXX",NULL,NULL,NULL,NULL,NULL
816,"Zackary","Turner","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
779,"Henry","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
442,"Derek","Green","New York","XXXXX",NULL,NULL,NULL,NULL,NULL
31,"Amelia","Smith","California","XXXXX",NULL,NULL,NULL,NULL,NULL
817,"Daniel","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
34,"Monica","Smith","California","XXXXX",NULL,NULL,NULL,NULL,NULL
763,"Victor","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
12,"Yvonne","Griffin","Arizona","XXXXX",NULL,NULL,NULL,NULL,NULL
10,"Olivia","Brown","Alaska","XXXXX",NULL,NULL,NULL,NULL,NULL
18,"Wanda","Reed","Arkansas","XXXXX",NULL,NULL,NULL,NULL,NULL
848,"Xavier","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
752,"Daniel","Brown","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
853,"Rachel","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
250,"Paul","Baker","Louisiana","XXXXX",NULL,NULL,NULL,NULL,NULL
478,"Rachel","Reed","New York","XXXXX",NULL,NULL,NULL,NULL,NULL
777,"Zackary","Brown","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
898,"Jake","Davis","Wisconsin","XXXXX",NULL,NULL,NULL,NULL,NULL
2,"Wanda","Fisher","Alabama","XXXXX",NULL,NULL,NULL,NULL,NULL
796,"Xavier","Brown","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
186,"Monica","Reed","California","XXXXX",NULL,NULL,NULL,NULL,NULL
843,"Daniel","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
823,"Brian","Reed","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
841,"Victor","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
886,"Noah","Reed","Washington","XXXXX",NULL,NULL,NULL,NULL,NULL
781,"Patrick","Smith","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
893,"Isla","Smith","West Virginia","XXXXX",NULL,NULL,NULL,NULL,NULL
819,"Leo","Davis","Texas","XXXXX",NULL,NULL,NULL,NULL,NULL
