"customer_id","full_name","cltv","cx_ranking"
554,"Yvonne Reed","89029.09000000008","1"
616,"Mia Reed","82350.18000000004","2"
711,"Fred Davis","82179.17000000007","3"
591,"Quinn Davis","79205.2300000001","4"
748,"Nathan Lee","77136.98000000007","5"
718,"Henry Reed","75825.21000000004","6"
625,"Wendy Reed","75738.73000000004","7"
712,"Jack Johnson","75017.15000000005","8"
669,"Zackary Davis","74862.01000000008","9"
701,"Olivia Barnes","74692.81000000007","10"
680,"Yara Davis","74691.55","11"
699,"Felix Scott","74629.99000000003","12"
670,"William Smith","74075.02000000003","13"
661,"Kelly Green","72452.14000000009","14"
614,"Ella Green","72112.92000000004","15"
692,"Kayla Stewart","71801.44000000009","16"
681,"Kayla Morris","71545.04000000008","17"
724,"Fred Brown","71219.95000000011","18"
608,"Gina Smith","71180.0800000001","19"
700,"Chloe Smith","70637.89000000009","20"
697,"Leo Adams","70164.88000000003","21"
551,"Mia Brown","70035.85000000005","22"
613,"Alicia Green","69803.37000000005","23"
728,"Victoria Smith","69494.12000000002","24"
623,"Olivia Reed","69447.98000000004","25"
584,"Olivia Scott","68595.12000000007","26"
722,"Xavier Reed","68550.11000000009","27"
739,"Daniel Parker","68528.08000000006","28"
541,"Yvonne Clark","67581.84000000007","29"
709,"Xavier Brown","66828.30000000006","30"
637,"Samuel Reed","66179.98000000004","31"
734,"Jack Hughes","66147.32000000007","32"
634,"Gina Davis","66122.03000000007","33"
641,"Isabella Davis","65982.86000000007","34"
632,"Yvonne Scott","65982.06000000007","35"
575,"Ella Scott","65947.17000000004","36"
663,"Samuel Reed","65930.01000000004","37"
741,"Leo Torres","65510.22000000006","38"
667,"Felix Smith","65339.13000000006","39"
617,"Quinn Reed","65017.07000000003","40"
684,"Chloe Adams","64809.11000000006","41"
556,"Gina Clark","64632.99000000004","42"
750,"Victor Scott","64632.12000000005","43"
693,"Henry Harris","64610.86000000004","44"
612,"Wendy Davis","64591.070000000065","45"
644,"Ursula Davis","64195.66000000006","46"
564,"Mia Davis","64171.26000000008","47"
587,"Alicia Green","63858.60000000009","48"
720,"Patrick Reed","63070.99000000007","49"
723,"Brian Smith","62722.79000000006","50"
694,"Ella Reed","62693.500000000124","51"
659,"Carla Scott","62615.96000000007","52"
690,"Abigail Reed","62574.78000000008","53"
727,"Rachel Johnson","62513.000000000065","54"
572,"Samuel Turner","62248.39000000004","55"
702,"Mia Cooper","61863.540000000066","56"
725,"Jack Davis","61583.140000000094","57"
731,"Henry Davis","61207.78000000009","58"
658,"Yvonne Scott","61163.27000000008","59"
672,"Gina Hill","60980.340000000026","60"
598,"Samuel Davis","60630.26000000005","61"
654,"Isabella Reed","60458.940000000075","62"
624,"Samuel Turner","60289.33000000005","63"
749,"Rachel Green","60209.050000000076","64"
643,"Quinn Davis","60071.24000000006","65"
582,"Gina Turner","60033.02000000007","66"
688,"Gina Brown","59955.130000000085","67"
549,"Ella Scott","59588.14000000007","68"
716,"Zackary Smith","58566.8900000001","69"
630,"Quinn Scott","58299.27000000006","70"
647,"Gina Reed","58219.730000000076","71"
602,"Isabella Reed","58219.0500000001","72"
605,"Ursula Davis","58102.02000000008","73"
742,"Patrick Rogers","58095.010000000075","74"
646,"Carla Davis","57749.89000000003","75"
548,"Alicia Scott","57717.990000000085","76"
563,"Isabella Reed","57654.58000000005","77"
717,"Daniel Davis","57563.31000000008","78"
729,"Zackary Davis","57288.26000000008","79"
571,"Olivia Brown","57180.43000000008","80"
596,"Kelly Davis","57013.070000000065","81"
619,"Yvonne Davis","56924.15000000005","82"
733,"Frank Rivera","56714.17000000007","83"
676,"Jake Cole","56540.22000000006","84"
543,"Gina Adams","56499.24000000007","85"
648,"Kelly Davis","56484.90000000008","86"
746,"Frank Bailey","56460.300000000054","87"
687,"Jake Miller","56313.08000000006","88"
705,"Daniel Johnson","56194.26000000007","89"
708,"Tara Reed","56037.40000000006","90"
665,"Alicia Smith","55967.0900000001","91"
635,"Kelly Reed","55905.36000000009","92"
664,"Wendy Reed","55601.140000000065","93"
622,"Kelly Green","55484.23000000006","94"
574,"Alicia Davis","55417.36000000006","95"
593,"Yvonne Green","55197.760000000075","96"
552,"Quinn Harris","54990.080000000045","97"
695,"Benjamin Davis","54873.40000000005","98"
655,"Mia Reed","54791.27000000006","99"
744,"Xavier Davis","54679.23000000006","100"
560,"Wendy Scott","54361.88000000008","101"
649,"Olivia Reed","54266.39000000005","102"
737,"Victor Adams","54188.27000000004","103"
577,"Mia Green","54163.410000000054","104"
599,"Wendy Davis","54149.32000000004","105"
569,"Gina Scott","53861.86000000011","106"
550,"Isabella Brown","53857.110000000095","107"
601,"Ella Scott","53409.70000000005","108"
