"customer_id","first_name","last_name","state","address","order_id","order_date","customer_id-2","seller_id","order_status","shipping_providers","days_took_to_ship"
188,"Ulysses","Green","California","XXXXX",6035,"2021-07-06",188,1,"Completed","fedex",5
189,"Yvonne","Turner","California","XXXXX",11560,"2022-11-08",189,10,"Completed","fedex",4
189,"Yvonne","Turner","California","XXXXX",11416,"2020-03-06",189,11,"Completed","fedex",4
190,"David","Wilson","Colorado","XXXXX",11768,"2021-07-25",190,20,"Completed","fedex",5
191,"Brian","White","Colorado","XXXXX",14299,"2022-04-03",191,4,"Completed","fedex",5
191,"Brian","White","Colorado","XXXXX",16246,"2020-10-27",191,32,"Completed","fedex",5
193,"Victor","Adams","Colorado","XXXXX",6581,"2022-03-27",193,1,"Completed","fedex",5
194,"Samuel","Adams","Colorado","XXXXX",11288,"2020-08-08",194,21,"Completed","fedex",4
195,"Emily","Clark","Connecticut","XXXXX",3017,"2022-07-20",195,4,"Completed","fedex",5
195,"Emily","Clark","Connecticut","XXXXX",4613,"2020-08-11",195,5,"Completed","fedex",5
196,"Cynthia","Bell","Connecticut","XXXXX",1463,"2021-05-24",196,3,"Completed","fedex",4
197,"Zachary","Murphy","Connecticut","XXXXX",4133,"2024-01-04",197,1,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXXX",2923,"2023-03-27",197,2,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXXX",15351,"2020-12-24",197,14,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXXX",3829,"2020-04-10",197,1,"Completed","fedex",4
199,"Tara","Smith","Connecticut","XXXXX",7404,"2021-11-05",199,5,"Completed","fedex",5
201,"Derek","Robinson","Delaware","XXXXX",19759,"2022-12-07",201,21,"Completed","fedex",4
202,"Amelia","Hill","Delaware","XXXXX",6785,"2023-05-17",202,5,"Completed","fedex",5
202,"Amelia","Hill","Delaware","XXXXX",10564,"2023-05-17",202,15,"Completed","fedex",5
203,"Xavier","Green","Delaware","XXXXX",9636,"2020-12-01",203,4,"Completed","fedex",4
205,"Grace","Martinez","Florida","XXXXX",11204,"2022-04-01",205,10,"Completed","fedex",4
205,"Grace","Martinez","Florida","XXXXX",9488,"2020-10-28",205,1,"Completed","fedex",5
206,"Erin","Stewart","Florida","XXXXX",8038,"2020-05-11",206,3,"Completed","fedex",4
208,"Yvonne","Smith","Florida","XXXXX",12634,"2024-01-03",208,3,"Completed","fedex",5
210,"Henry","Walker","Georgia","XXXXX",14679,"2022-08-20",210,49,"Completed","fedex",4
211,"Fred","Harris","Georgia","XXXXX",2601,"2023-06-15",211,5,"Completed","fedex",4
212,"Cynthia","Wilson","Georgia","XXXXX",3361,"2022-07-02",212,3,"Completed","fedex",5
214,"Wanda","Green","Georgia","XXXXX",7248,"2023-03-28",214,3,"Completed","fedex",5
216,"Grace","Scott","Hawaii","XXXXX",8628,"2023-11-13",216,2,"Completed","fedex",4
216,"Grace","Scott","Hawaii","XXXXX",15025,"2022-09-30",216,15,"Completed","fedex",4
217,"Derek","Taylor","Hawaii","XXXXX",4761,"2023-04-22",217,5,"Completed","fedex",5
217,"Derek","Taylor","Hawaii","XXXXX",3309,"2021-10-03",217,3,"Completed","fedex",4
217,"Derek","Taylor","Hawaii","XXXXX",12174,"2020-01-13",217,9,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXXX",87,"2023-10-14",218,3,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXXX",15625,"2020-08-15",218,28,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXXX",1095,"2020-01-01",218,1,"Completed","fedex",4
219,"Xavier","Davis","Hawaii","XXXXX",13717,"2023-06-17",219,21,"Completed","fedex",5
219,"Xavier","Davis","Hawaii","XXXXX",521,"2022-04-22",219,2,"Completed","fedex",4
219,"Xavier","Davis","Hawaii","XXXXX",10582,"2021-10-08",219,6,"Completed","fedex",4
220,"Jack","Allen","Idaho","XXXXX",15724,"2022-09-07",220,30,"Completed","fedex",4
221,"Hugo","Edwards","Idaho","XXXXX",16628,"2024-01-19",221,32,"Completed","fedex",5
224,"Yvonne","Reed","Idaho","XXXXX",18913,"2023-02-16",224,28,"Completed","fedex",5
224,"Yvonne","Reed","Idaho","XXXXX",3671,"2022-05-02",224,5,"Completed","fedex",4
225,"Karen","Young","Illinois","XXXXX",17086,"2023-09-30",225,20,"Completed","fedex",5
225,"Karen","Young","Illinois","XXXXX",2379,"2020-03-12",225,5,"Completed","fedex",4
226,"Ivy","James","Illinois","XXXXX",17106,"2021-04-26",226,23,"Completed","fedex",5
226,"Ivy","James","Illinois","XXXXX",10428,"2020-07-13",226,20,"Completed","fedex",4
228,"Cynthia","Reed","Illinois","XXXXX",7132,"2023-09-30",228,3,"Completed","fedex",5
228,"Cynthia","Reed","Illinois","XXXXX",8736,"2022-03-01",228,1,"Completed","fedex",5
228,"Cynthia","Reed","Illinois","XXXXX",17699,"2020-12-16",228,26,"Completed","fedex",5
229,"Zachary","Scott","Illinois","XXXXX",527,"2024-01-01",229,1,"Completed","fedex",4
229,"Zachary","Scott","Illinois","XXXXX",17400,"2020-09-18",229,24,"Completed","fedex",4
232,"Grace","King","Indiana","XXXXX",3815,"2021-09-29",232,2,"Completed","fedex",5
232,"Grace","King","Indiana","XXXXX",3475,"2021-08-28",232,4,"Completed","fedex",4
233,"Derek","Adams","Indiana","XXXXX",17230,"2021-12-12",233,26,"Completed","fedex",4
234,"Amelia","Davis","Indiana","XXXXX",14433,"2023-01-08",234,2,"Completed","fedex",5
235,"Mona","Scott","Iowa","XXXXX",2965,"2023-03-30",235,5,"Completed","fedex",4
235,"Mona","Scott","Iowa","XXXXX",6589,"2020-03-20",235,5,"Completed","fedex",4
237,"Hugo","Lewis","Iowa","XXXXX",5345,"2023-02-27",237,3,"Completed","fedex",4
239,"Brian","Brown","Iowa","XXXXX",289,"2020-01-26",239,1,"Completed","fedex",5
240,"Nathan","Wright","Kansas","XXXXX",4479,"2023-05-16",240,2,"Completed","fedex",4
240,"Nathan","Wright","Kansas","XXXXX",17983,"2022-03-01",240,27,"Completed","fedex",4
240,"Nathan","Wright","Kansas","XXXXX",11254,"2021-07-05",240,25,"Completed","fedex",4
242,"Ivy","Morris","Kansas","XXXXX",5991,"2023-12-03",242,2,"Completed","fedex",5
242,"Ivy","Morris","Kansas","XXXXX",18469,"2023-05-31",242,27,"Completed","fedex",5
242,"Ivy","Morris","Kansas","XXXXX",16756,"2021-09-13",242,32,"Completed","fedex",5
242,"Ivy","Morris","Kansas","XXXXX",5749,"2021-04-30",242,5,"Completed","fedex",4
242,"Ivy","Morris","Kansas","XXXXX",18815,"2020-02-04",242,31,"Completed","fedex",4
244,"Cynthia","Green","Kansas","XXXXX",3175,"2023-04-03",244,1,"Completed","fedex",4
244,"Cynthia","Green","Kansas","XXXXX",14735,"2022-05-16",244,29,"Completed","fedex",5
245,"Olivia","Adams","Kentucky","XXXXX",5875,"2023-02-26",245,3,"Completed","fedex",5
246,"Monica","Wood","Kentucky","XXXXX",14463,"2022-06-07",246,13,"Completed","fedex",4
246,"Monica","Wood","Kentucky","XXXXX",1583,"2021-10-29",246,2,"Completed","fedex",5
247,"Jack","Reed","Kentucky","XXXXX",12108,"2020-11-28",247,4,"Completed","fedex",4
248,"Grace","Brown","Kentucky","XXXXX",19833,"2023-07-03",248,20,"Completed","fedex",5
